case_id,physical_page,source_pages,structure,effects,width_pt,height_pt
I202,47,45,single,,1190.55,841.89
I202,48,46,single,dropout,595.35,841.95
I202,49,47,single,photo,726.75,959.85
I202,50,48,single,dark;stamp,595.35,841.95
I202,51,49,single,holes,595.35,841.95
I202,52,50,single,rotate90;grain,595.35,841.95
I202,53,51,single,bands;coffee,595.35,841.95
I202,54,52,single,low_dpi,595.35,841.95
I202,55,53,single,skew,650.25,879.75
I202,56,54,single,,595.276,841.89
I202,57,55,single,screen;grain,626.85,895.95
I202,58,56,single,rotate180,595.35,841.95
I202,59,57,single,jpeg;coffee,595.35,841.95
I202,60,2,single,holes,595.35,841.95
I202,61,58,single,low_dpi,841.95,595.35
I202,62,59,single,stamp,1190.7,841.95
I202,63,60,single,holes;stamp;grain,595.35,841.95
I202,64,61,single,watermark,595.35,841.95
I202,65,62,single,rotate180,595.35,841.95
I202,66,63,single,negative;grain,595.35,841.95
I202,67,64,single,low_dpi,841.95,595.35
I202,68,65,single,photo;grain,726.75,959.85
I202,69,66,single,rotate90;stamp,841.95,595.35
I202,70,67,single,mirror,595.35,841.95
I202,71,68,single,grain,595.35,841.95
I202,72,69,single,watermark;coffee,595.35,841.95
I202,73,70,single,stamp;grain,595.35,841.95
I202,74,71,single,bleed,595.35,841.95
I202,75,72,single,,595.28,841.89
P301,1,1,single,holes;handwriting,595.35,841.95
P301,2,2;3,two_up,screen;half_turn;coffee,1190.55,841.89
P301,3,4,single,mirror,595.35,841.95
P301,4,7,single,dropout,595.35,841.95
P301,5,6,single,dropout;stamp,595.35,841.95
P301,6,5,single,coffee;grain,595.35,841.95
P301,7,8,single,jpeg,841.95,595.35
P301,8,9,single,,595.276,841.89
P301,9,10,single,fold;grain,595.35,841.95
P301,10,11,single,bands,595.35,841.95
P301,11,12,single,photo;stamp,726.75,959.85
P301,12,13,single,handwriting,595.35,841.95
P301,13,14,single,half_turn,595.35,841.95
P301,14,15,single,watermark;coffee;grain,595.35,841.95
P301,15,16,single,holes,595.35,841.95
P301,16,17,single,holes,1190.7,841.95
P301,17,18,single,,595.276,841.89
P301,18,19,single,fold,595.35,841.95
P301,19,20,single,motion;grain,595.35,841.95
P301,20,21,single,torn;coffee,595.35,841.95
P301,21,22,single,highlight,841.95,595.35
P301,22,23,single,streaks,595.35,841.95
P301,23,24,single,blur;stamp,595.35,841.95
P301,24,25,single,dropout;grain,595.35,841.95
P301,25,26,single,dropout,595.35,841.95
P301,26,27,single,,595.276,841.89
P301,27,28,single,ghost,595.35,841.95
P301,28,29,single,streaks,841.95,595.35
P301,29,30,single,mirror;stamp;grain,595.35,841.95
P301,30,31,single,bleed,1190.7,841.95
P301,31,32,single,low_dpi,595.35,841.95
P301,32,2,single,screen,626.85,895.95
P301,33,33,single,rotate90;coffee,841.95,595.35
P301,34,34,single,blueprint,595.35,841.95
P301,35,35,single,highlight;grain,595.35,841.95
P301,36,36,single,,841.89,595.28
P301,37,37,single,screen;grain,873.45,649.35
P301,38,38,single,rotate90,841.95,595.35
P301,39,39,single,faded;coffee,595.35,841.95
P301,40,40,single,screen;grain,626.85,895.95
P301,41,41,single,negative,595.35,841.95
P301,42,42,single,ghost;stamp,595.35,841.95
P301,43,43,single,grain,595.35,841.95
P301,44,44,single,handwriting,595.35,841.95
P301,45,45,single,,1190.55,841.89
P301,46,46,single,bleed,595.35,841.95
P301,47,47,single,blur,595.35,841.95
P301,48,48,single,motion;stamp,595.35,841.95
P301,49,49,single,negative,595.35,841.95
P301,50,50,single,skew;grain,879.75,650.25
P301,51,51,single,rotate90;coffee,841.95,595.35
P301,52,52,single,fold,595.35,841.95
P301,53,53,single,blur,595.35,841.95
P301,54,54,single,,595.276,841.89
P301,55,55,single,motion;grain,595.35,841.95
P301,56,56,single,jpeg,595.35,841.95
P301,57,57,single,screen;coffee,626.85,895.95
P301,58,58,single,bleed,841.95,595.35
P301,59,59,single,photo,1452.6,959.85
P301,60,60,single,dark;stamp;grain,595.35,841.95
P301,61,61,single,rotate180,595.35,841.95
P301,62,62,single,ghost,595.35,841.95
P301,63,63,single,,595.276,841.89
P301,64,2,single,screen,626.85,895.95
P301,65,64,single,handwriting,841.95,595.35
P301,66,65,single,rotate90;grain,841.95,595.35
P301,67,66,single,low_dpi;stamp,595.35,841.95
P301,68,67,single,faded,595.35,841.95
P301,69,68,single,ghost,595.35,841.95
P301,70,69,single,half_turn;coffee,595.35,841.95
P301,71,70,single,bands;grain,595.35,841.95
P301,72,71,single,skew,650.25,879.75
P301,73,72,single,,595.28,841.89
P301,74,73,single,faded,1190.7,841.95
P301,75,74,single,motion,595.35,841.95
P301,76,,inserted_divider,,595.276,841.89
P301,77,75,single,watermark;coffee;grain,595.35,841.95
P301,78,76,single,torn,595.35,841.95
P301,79,77,single,negative,595.35,841.95
P301,80,78,single,bleed;stamp,841.95,595.35
P301,81,79,single,bands,595.35,841.95
P301,82,80,single,watermark;grain,595.35,841.95
P301,83,81,single,,595.276,841.89
P301,84,82,single,blueprint,595.35,841.95
P301,85,83,single,ghost,595.35,841.95
P301,86,84,single,bleed;stamp,595.35,841.95
P301,87,85,single,mirror;grain,595.35,841.95
P301,88,86,single,mirror,595.35,841.95
P301,89,87,single,bands;coffee,841.95,1190.7
P301,90,88,single,half_turn,595.35,841.95
P301,91,89,single,holes,595.35,841.95
P301,92,90,single,,595.276,841.89
P301,93,91,single,stamp,595.35,841.95
P301,94,92,single,rotate90,595.35,841.95
P301,95,93,single,salt_pepper;coffee,595.35,841.95
P301,96,94,single,holes,595.35,841.95
P301,97,2,single,screen,626.85,895.95
P301,98,95,single,negative;grain,595.35,841.95
P301,99,96,single,grain;stamp,595.35,841.95
P301,100,97,single,dark,595.35,841.95
P301,101,98,single,rotate90,841.95,595.35
P301,102,99,single,,595.276,841.89
P301,103,100,single,salt_pepper;grain,595.35,841.95
P301,104,101,single,skew,1244.25,919.35
P301,105,102,single,handwriting;stamp,595.35,841.95
P301,106,103,single,salt_pepper,595.35,841.95
P301,107,104,single,grain,595.35,841.95
P301,108,105,single,rotate180;coffee;grain,595.35,841.95
P301,109,106,single,streaks,841.95,595.35
P301,110,107,single,watermark,595.35,841.95
P301,111,108,single,,595.28,841.89
P301,112,109,single,bands,595.35,841.95
P301,113,110;111,two_up,highlight;grain;dark;coffee,1190.55,841.89
P301,114,112,single,screen;grain,873.45,649.35
P301,115,116,single,rotate90,595.35,841.95
P301,116,115,single,photo;grain,1452.6,959.85
P301,117,114,single,rotate90;stamp,841.95,595.35
P301,118,113,single,sticky;watermark,841.95,595.35
P301,119,117,single,,595.276,841.89
P301,120,118,single,half_turn,595.35,841.95
P301,121,119,single,screen,626.85,895.95
P301,122,120,single,photo;stamp;grain,1027.35,679.05
P301,123,121,single,fold,595.35,841.95
P301,124,122,single,bands,595.35,841.95
P301,125,123,single,faded;coffee,595.35,841.95
P301,126,124,single,screen,626.85,895.95
P301,127,125,single,negative;grain,595.35,841.95
P301,128,126,single,,595.276,841.89
P301,129,127,single,dark,595.35,841.95
P301,130,2,single,screen,626.85,895.95
P301,131,128,single,handwriting,595.35,841.95
P301,132,129,single,skew;coffee,1244.25,919.35
P301,133,130,single,motion;grain,595.35,841.95
P301,134,131,single,dark,595.35,841.95
P301,135,132,single,negative;stamp,595.35,841.95
P301,136,133,single,streaks,595.35,841.95
P301,137,134,single,stamp,841.95,595.35
P301,138,135,single,,595.276,841.89
P301,139,136,single,photo,726.75,959.85
P301,140,137,single,salt_pepper,595.35,841.95
P301,141,138,single,rotate180;stamp,595.35,841.95
P301,142,139,single,blueprint,595.35,841.95
P301,143,140,single,dropout;grain,595.35,841.95
P301,144,141,single,salt_pepper;coffee,595.35,841.95
P301,145,142,single,photo,726.75,959.85
P301,146,143,single,handwriting,1190.7,841.95
P301,147,144,single,,595.28,841.89
P301,148,145,single,highlight;grain,841.95,595.35
P301,149,146,single,screen,626.85,895.95
P301,150,147,single,dark;coffee,595.35,841.95
P301,151,148,single,stamp,841.95,595.35
P301,152,149,single,bleed,595.35,841.95
P301,153,150;151,two_up,streaks;stamp;grain;torn,1190.55,841.89
P301,154,152,single,watermark,595.35,841.95
P301,155,153,single,,595.276,841.89
P301,156,154,single,bleed,595.35,841.95
P301,157,155,single,rotate90;grain,841.95,595.35
P301,158,156,single,mirror;stamp,595.35,841.95
P301,159,157,single,mirror,1190.7,841.95
P301,160,158,single,blueprint,595.35,841.95
P301,161,159,single,blueprint;coffee,595.35,841.95
P301,162,2,single,screen,626.85,895.95
P301,163,160,single,blur;grain,595.35,841.95
P301,164,161,single,skew,650.25,879.75
P301,165,162,single,,841.89,595.276
P301,166,163,single,bands,595.35,841.95
P301,167,164,single,grain,595.35,841.95
P301,168,165,single,grain;coffee;grain,595.35,841.95
P301,169,166,single,dark,595.35,841.95
P301,170,167,single,torn,595.35,841.95
P301,171,168,single,dropout;stamp,595.35,841.95
P301,172,169,single,faded,595.35,841.95
P301,173,170,single,half_turn;grain,595.35,841.95
P301,174,171,single,,1190.55,841.89
P301,175,172,single,streaks,595.35,841.95
P301,176,173,single,grain,595.35,841.95
P301,177,174,single,faded;stamp,841.95,595.35
P301,178,175,single,coffee;grain,595.35,841.95
P301,179,176,single,fold,841.95,595.35
P301,180,177,single,salt_pepper;coffee,595.35,841.95
P301,181,178,single,dark,595.35,841.95
P301,182,179,single,grain,595.35,841.95
P301,183,,inserted_divider,,595.276,841.89
P301,184,180,single,,595.28,841.89
P301,185,181,single,handwriting,595.35,841.95
P301,186,182,single,low_dpi,595.35,841.95
P301,187,183,single,faded;coffee,595.35,841.95
P301,188,184,single,highlight,595.35,841.95
P301,189,185,single,screen;grain,1222.2,895.95
P301,190,186,single,motion;stamp,595.35,841.95
P301,191,187,single,handwriting;grain,595.35,841.95
P301,192,188,single,blur,595.35,841.95
P301,193,189,single,,595.276,841.89
P301,194,190,single,rotate180;grain,841.95,595.35
P301,195,191,single,rotate180,595.35,841.95
P301,196,2,single,screen,626.85,895.95
P301,197,192,single,blueprint;stamp,595.35,841.95
P301,198,193,single,negative,595.35,841.95
P301,199,194,single,handwriting,595.35,841.95
P301,200,195,single,coffee;coffee;grain,595.35,841.95
P301,201,196,single,mirror,595.35,841.95
P301,202,197,single,blur,595.35,841.95
P301,203,198,single,,595.276,841.89
P301,204,199,single,highlight,1190.7,841.95
P301,205,200,single,motion;grain,595.35,841.95
P301,206,201,single,dark;coffee,595.35,841.95
P301,207,202,single,blueprint,595.35,841.95
P301,208,203,single,holes,841.95,595.35
P301,209,204,single,stamp;stamp,841.95,595.35
P301,210,205,single,mirror;grain,595.35,841.95
P301,211,206,single,fold,595.35,841.95
P301,212,207,single,,595.276,841.89
P301,213,208,single,ghost,595.35,841.95
P301,214,209,single,streaks,595.35,841.95
P301,215,210,single,photo;stamp;grain,726.75,959.85
P301,216,211,single,skew,650.25,879.75
P301,217,212,single,salt_pepper,595.35,841.95
P301,218,213,single,skew;coffee,1244.25,919.35
P301,219,214,single,ghost,595.35,841.95
P301,220,215,single,motion;grain,595.35,841.95
P301,221,216,single,,595.28,841.89
P301,222,217,single,holes,595.35,841.95
P301,223,218,single,low_dpi,841.95,595.35
P301,224,219,single,salt_pepper;grain,595.35,841.95
P301,225,220,single,rotate180;grain,595.35,841.95
P301,226,221,single,torn,595.35,841.95
P301,227,222,single,screen;stamp,626.85,895.95
P301,228,223,single,negative,595.35,841.95
P301,229,224,single,dropout,595.35,841.95
P302,1,1,single,holes;handwriting,595.35,841.95
P302,2,2;3,two_up,fold;coffee;coffee,1190.55,841.89
P302,3,4,single,highlight,595.35,841.95
P302,4,7,single,torn,595.35,841.95
P302,5,6,single,negative;stamp,595.35,841.95
P302,6,5,single,watermark;grain,595.35,841.95
P302,7,8,single,skew,879.75,650.25
P302,8,9,single,,595.276,841.89
P302,9,10,single,faded;grain,595.35,841.95
P302,10,11,single,mirror,595.35,841.95
P302,11,12,single,blur;stamp,595.35,841.95
P302,12,13,single,salt_pepper,595.35,841.95
P302,13,14,single,torn,595.35,841.95
P302,14,15,single,rotate180;coffee;grain,595.35,841.95
P302,15,16,single,jpeg,595.35,841.95
P302,16,17,single,dark,1190.7,841.95
P302,17,18,single,,595.276,841.89
P302,18,19,single,mirror,595.35,841.95
P302,19,20,single,jpeg;grain,595.35,841.95
P302,20,2,single,fold,595.35,841.95
P302,21,21,single,watermark;coffee,595.35,841.95
P302,22,22,single,stamp;grain,841.95,595.35
P302,23,23,single,motion,595.35,841.95
P302,24,24,single,faded;stamp,595.35,841.95
P302,25,25,single,fold;grain,595.35,841.95
P302,26,26,single,bands,595.35,841.95
P302,27,27,single,,595.276,841.89
P302,28,28,single,half_turn,595.35,841.95
P302,29,29,single,streaks,841.95,595.35
P302,30,30,single,coffee;stamp;grain,595.35,841.95
P302,31,31,single,photo,1452.6,959.85
P302,32,32,single,bands,595.35,841.95
P302,33,33,single,fold;coffee,595.35,841.95
P302,34,,inserted_divider,,595.276,841.89
P302,35,34,single,streaks,595.35,841.95
P302,36,35,single,blueprint;grain,595.35,841.95
P302,37,36,single,,841.89,595.28
P302,38,37,single,torn,595.35,841.95
P302,39,38,single,bands,595.35,841.95
P302,40,2,single,fold,595.35,841.95
P302,41,39,single,handwriting;coffee,595.35,841.95
P302,42,40,single,ghost;grain,595.35,841.95
P302,43,41,single,grain,595.35,841.95
P302,44,42,single,screen;stamp,626.85,895.95
P302,45,43,single,streaks,595.35,841.95
P302,46,44,single,fold,595.35,841.95
P302,47,45,single,,1190.55,841.89
P302,48,46,single,skew,650.25,879.75
P302,49,47,single,blur,595.35,841.95
P302,50,48,single,negative;stamp,595.35,841.95
P302,51,52,single,coffee,595.35,841.95
P302,52,51,single,low_dpi;coffee,595.35,841.95
P302,53,50,single,low_dpi;grain,841.95,595.35
P302,54,49,single,torn,595.35,841.95
P302,55,53,single,low_dpi,595.35,841.95
P302,56,54,single,,595.276,841.89
P302,57,55,single,watermark;grain,595.35,841.95
P302,58,56,single,ghost,595.35,841.95
P302,59,57,single,dark;coffee,595.35,841.95
P302,60,2,single,fold,595.35,841.95
P302,61,58,single,photo,1027.35,679.05
P302,62,59,single,coffee,1190.7,841.95
P302,63,60,single,ghost;stamp;grain,595.35,841.95
P302,64,61,single,half_turn,595.35,841.95
P302,65,62,single,blueprint,595.35,841.95
P302,66,63,single,,595.276,841.89
P302,67,64,single,fold,841.95,595.35
P302,68,65,single,bands;grain,595.35,841.95
P302,69,66,single,faded;stamp,595.35,841.95
P302,70,67,single,handwriting,595.35,841.95
P302,71,68,single,blueprint,595.35,841.95
P302,72,69,single,blueprint;coffee,595.35,841.95
P302,73,70,single,stamp;grain,595.35,841.95
P302,74,71,single,photo,726.75,959.85
P302,75,72,single,,595.28,841.89
P302,76,73,single,bands,1190.7,841.95
P302,77,74,single,ghost,595.35,841.95
P302,78,75,single,watermark;coffee;grain,595.35,841.95
P302,79,76,single,highlight,595.35,841.95
P302,80,2,single,fold,595.35,841.95
P302,81,77,single,rotate180,595.35,841.95
P302,82,78,single,faded;stamp,841.95,595.35
P302,83,79,single,low_dpi,595.35,841.95
P302,84,80,single,holes;grain,595.35,841.95
P302,85,81,single,,595.276,841.89
P302,86,82,single,half_turn,595.35,841.95
P302,87,83,single,blueprint,595.35,841.95
P302,88,84,single,mirror;stamp,595.35,841.95
P302,89,85,single,handwriting;grain,595.35,841.95
P302,90,86,single,handwriting,595.35,841.95
P302,91,87,single,bands;coffee,841.95,1190.7
P302,92,88,single,fold;grain,595.35,841.95
P302,93,89,single,grain,595.35,841.95
P302,94,90,single,,595.276,841.89
P302,95,91,single,low_dpi,595.35,841.95
P302,96,92,single,handwriting,841.95,595.35
P302,97,93,single,coffee;coffee,595.35,841.95
P302,98,94,single,highlight,595.35,841.95
P302,99,95,single,highlight;grain,595.35,841.95
P302,100,96,single,holes;stamp,595.35,841.95
N401,1,1,single,holes;handwriting,595.35,841.95
N401,2,2;3,two_up,photo;bands;coffee,1190.55,841.89
N401,3,4,single,jpeg,595.35,841.95
N401,4,7,single,rotate180,595.35,841.95
N401,5,6,single,highlight;stamp,595.35,841.95
N401,6,5,single,mirror;grain,595.35,841.95
N401,7,8,single,skew,879.75,650.25
N401,8,2,single,photo,726.75,959.85
N401,9,,inserted_divider,,595.276,841.89
N401,10,9,single,,595.276,841.89
N401,11,10,single,ghost;grain,595.35,841.95
N401,12,11,single,ghost,595.35,841.95
N401,13,12,single,holes;stamp,595.35,841.95
N401,14,13,single,rotate180,595.35,841.95
N401,15,14,single,negative;grain,595.35,841.95
N401,16,15,single,salt_pepper;coffee;grain,595.35,841.95
N401,17,16,single,stamp,595.35,841.95
N401,18,2,single,photo,726.75,959.85
N401,19,17,single,blur,1190.7,841.95
N401,20,18,single,,595.276,841.89
N401,21,19,single,dark,595.35,841.95
N401,22,20,single,coffee;grain,595.35,841.95
N401,23,21,single,mirror;grain,595.35,841.95
N401,24,22,single,handwriting,841.95,595.35
N401,25,23,single,rotate90,841.95,595.35
N401,26,24,single,negative;stamp,595.35,841.95
N402,1,1,single,holes;handwriting,595.35,841.95
N402,2,2;3,two_up,half_turn;watermark;coffee,1190.55,841.89
N402,3,4,single,faded,595.35,841.95
N402,4,7;8,two_up,stamp;mirror;grain,1190.55,841.89
N402,5,6,single,bands;stamp,595.35,841.95
N402,6,5,single,stamp;grain,595.35,841.95
N402,7,9,single,,595.276,841.89
N402,8,10,single,highlight;grain,595.35,841.95
N402,9,11,single,holes,595.35,841.95
N402,10,2,single,half_turn,595.35,841.95
N402,11,12,single,holes;stamp,595.35,841.95
N402,12,13,single,ghost,595.35,841.95
N402,13,14,single,bleed,595.35,841.95
N402,14,,inserted_divider,,595.276,841.89
N402,15,15,single,faded;coffee;grain,595.35,841.95
N402,16,16,single,handwriting,595.35,841.95
N402,17,17,single,dropout,1190.7,841.95
N402,18,18,single,,595.276,841.89
N402,19,19,single,screen,626.85,895.95
N402,20,20,single,low_dpi;grain,595.35,841.95
N402,21,2,single,half_turn,595.35,841.95
N402,22,21,single,salt_pepper;coffee,595.35,841.95
N402,23,22,single,faded,841.95,595.35
N402,24,23,single,dropout,595.35,841.95
N402,25,24,single,grain;stamp,595.35,841.95
N402,26,25,single,negative;grain,595.35,841.95
N402,27,26,single,watermark,595.35,841.95
N402,28,27,single,mirror;grain,595.35,841.95
N402,29,28,single,salt_pepper,595.35,841.95
N402,30,29,single,stamp,841.95,595.35
N402,31,30,single,jpeg;stamp;grain,595.35,841.95
N402,32,2,single,half_turn,595.35,841.95
N402,33,31,single,rotate180,1190.7,841.95
N402,34,32,single,rotate180,595.35,841.95
N402,35,33,single,watermark;coffee,595.35,841.95
N402,36,34,single,coffee,595.35,841.95
N402,37,35,single,salt_pepper;grain,595.35,841.95
N402,38,36,single,,841.89,595.28
N402,39,37,single,fold,595.35,841.95
N402,40,38,single,holes;grain,595.35,841.95
N402,41,39,single,streaks;coffee,595.35,841.95
N402,42,40,single,rotate90;grain,841.95,595.35
