case_id,field_id,name,raw_value,value,unit,qualifier,operator,verdict,limit,report_pages,criterion_source
I201,sieve075,0.075 mm 통과량,4.8,4.8,%,eq,between,pass,"[2, 7]",33,"{""file"": ""inputs/criteria/I201_criteria.xlsx"", ""sheet"": ""입도 범위"", ""cells"": [""C22"", ""D22"", ""C20""]}"
I201,sieve475,4.75 mm 통과량,99.1,99.1,%,eq,between,pass,"[90, 100]",33,"{""file"": ""inputs/criteria/I201_criteria.xlsx"", ""sheet"": ""입도 범위"", ""cells"": [""C23"", ""D23"", ""C20""]}"
I202,voids,Air voids,"3,8",3.8,%,eq,between,pass,"[3, 5]",29,"{""file"": ""inputs/criteria/I202_criteria.pdf"", ""page"": 5, ""clause"": ""5.2""}"
I202,stability,Stability,"9,2",9.2,kN,eq,gte,pass,8,29,"{""file"": ""inputs/criteria/I202_criteria.pdf"", ""page"": 5, ""clause"": ""5.2""}"
I202,thickness,Core thickness,47,47,mm,eq,gte,fail,50,66,"{""file"": ""inputs/criteria/I202_criteria.pdf"", ""page"": 9, ""clause"": ""9.1""}"
I202,permeability,Permeability,NOT TESTED,,m/s,not_tested,lte,review,1e-05,66,"{""file"": ""inputs/criteria/I202_criteria.pdf"", ""page"": 11, ""clause"": ""A.3""}"
P301,yield,Yield strength,345,345,MPa,eq,gte,pass,335,37,"{""file"": ""inputs/criteria/P301_criteria.xlsx"", ""sheet"": ""Mechanical R3"", ""cells"": [""D15"", ""F15"", ""C15""]}"
P301,tensile,Tensile strength,510,510,MPa,eq,between,pass,"[490, 650]",37,"{""file"": ""inputs/criteria/P301_criteria.xlsx"", ""sheet"": ""Mechanical R3"", ""cells"": [""D16"", ""E16"", ""F16"", ""C16""]}"
P301,carbon,Carbon C,0.21,0.21,%,eq,lte,pass,0.23,114,"{""file"": ""inputs/criteria/P301_criteria.xlsx"", ""sheet"": ""Chemistry R3"", ""cells"": [""C8"", ""D8""]}"
P301,impact,Impact energy,,,J,unreadable,gte,review,30,114;118,"{""file"": ""inputs/criteria/P301_criteria.xlsx"", ""sheet"": ""Mechanical R3"", ""cells"": [""D17"", ""F17"", ""C17""]}"
P301,pressure,Hydrostatic pressure,150,15,MPa,eq,gte,pass,15,191,"{""file"": ""inputs/criteria/P301_criteria.xlsx"", ""sheet"": ""Hydro R3"", ""cells"": [""C13"", ""K8"", ""'Design Basis'!D8"", ""'Design Basis'!D10""]}"
P301,hold,Holding duration,30,30,min,eq,gte,pass,30,224,"{""file"": ""inputs/criteria/P301_criteria.xlsx"", ""sheet"": ""Hydro R3"", ""cells"": [""C14"", ""D14""]}"
P302,wall,Wall thickness,8.2,8.2,mm,eq,gte,pass,8,22,"{""file"": ""inputs/criteria/P302_criteria.pdf"", ""page"": 9, ""clause"": ""M.2""}"
P302,weld,Visual weld examination,Acceptable,Acceptable,,eq,eq,pass,"""Acceptable""",57,"{""file"": ""inputs/criteria/P302_criteria.pdf"", ""page"": 9, ""clause"": ""M.2""}"
P302,leak,Helium leak rate,<1.0E-6,1e-06,Pa m3/s,lt,lte,pass,1e-05,92,"{""file"": ""inputs/criteria/P302_criteria.pdf"", ""page"": 10, ""clause"": ""L.1""}"
P302,coating,Dry film thickness,280,280,um,eq,between,pass,"[250, 350]",92,"{""file"": ""inputs/criteria/P302_criteria.pdf"", ""page"": 16, ""clause"": ""ADD-4""}"
P302,ferrite,Ferrite content,6.2,6.2,%,eq,,review,null,57,"{""file"": ""inputs/criteria/P302_criteria.pdf"", ""page"": 17, ""clause"": ""APP-SCOPE""}"
N401,lead,납 Pb,<0.004,0.004,mg/L,lt,lte,pass,0.01,6,"{""file"": ""inputs/criteria/N401_criteria.xlsx"", ""sheet"": ""분석 허용치"", ""cells"": [""B19"", ""D19"", ""E19"", ""B26""]}"
N401,cadmium,카드뮴 Cd,ND,,mg/L,nd,lte,review,0.003,6,"{""file"": ""inputs/criteria/N401_criteria.xlsx"", ""sheet"": ""분석 허용치"", ""cells"": [""B20"", ""D20"", ""E20"", ""B26""]}"
N401,cod,COD,18,18,mg/L,eq,lte,pass,20,15,"{""file"": ""inputs/criteria/N401_criteria.xlsx"", ""sheet"": ""분석 허용치"", ""cells"": [""B21"", ""D21"", ""E21"", ""B26""]}"
N401,ph,pH,9.1,9.1,,eq,between,fail,"[6.5, 8.5]",23,"{""file"": ""inputs/criteria/N401_criteria.xlsx"", ""sheet"": ""현장 측정"", ""cells"": [""C12"", ""D12""]}"
N402,power,Maximum power Pmax,449,449,W,eq,gte,fail,450,4,"{""file"": ""inputs/criteria/N402_criteria.xlsx"", ""sheet"": ""성능 매트릭스"", ""cells"": [""E9"", ""E8"", ""C9"", ""'환경 조건'!C7""]}"
N402,insulation,Insulation resistance,240000,240,MOhm,eq,gte,pass,100,28,"{""file"": ""inputs/criteria/N402_criteria.xlsx"", ""sheet"": ""성능 매트릭스"", ""cells"": [""E10"", ""E8"", ""C10"", ""'환경 조건'!C7""]}"
N402,wetleak,Wet leakage resistance,,,MOhm,unreadable,gte,review,40,40,"{""file"": ""inputs/criteria/N402_criteria.xlsx"", ""sheet"": ""성능 매트릭스"", ""cells"": [""E11"", ""E8"", ""C11"", ""'환경 조건'!C7""]}"
N402,model,Model designation,PVX-72,PVX-72,,eq,eq,pass,"""PVX-72""",4,"{""file"": ""inputs/criteria/N402_criteria.xlsx"", ""sheet"": ""환경 조건"", ""cells"": [""'적용 모델'!D8"", ""C10""]}"
