case_id,field_id,file,sheet,cell,value
P301,impact,golden/native/P301_completed.xlsx,Mechanical R3,G17,판독 불가
P301,impact,golden/native/P301_completed.xlsx,Mechanical R3,H17,review
P301,impact,golden/native/P301_completed.xlsx,Mechanical R3,I17,PDF 118 + 114쪽 | 불투명 메모지가 측정값 전체를 가려 원본 값 복원 불가
P301,carbon,golden/native/P301_completed.xlsx,Chemistry R3,E8,0.21 %
P301,carbon,golden/native/P301_completed.xlsx,Chemistry R3,F8,pass
P301,carbon,golden/native/P301_completed.xlsx,Chemistry R3,G8,PDF 114쪽 | 전체 Heat 표 중 HX-72만 선택
P301,pressure,golden/native/P301_completed.xlsx,Hydro R3,E13,15 MPa
P301,pressure,golden/native/P301_completed.xlsx,Hydro R3,F13,pass
P301,pressure,golden/native/P301_completed.xlsx,Hydro R3,G13,PDF 191쪽 | 150 bar = 15 MPa; 현행 설계압력의 1.5배
P301,hold,golden/native/P301_completed.xlsx,Hydro R3,E14,30 min
P301,hold,golden/native/P301_completed.xlsx,Hydro R3,F14,pass
P301,hold,golden/native/P301_completed.xlsx,Hydro R3,G14,PDF 224쪽 | 유지시간은 압력 차트가 아닌 최종 입회 기록에 있음
P302,wall,golden/native/P302_completed.xlsx,Release Form,E19,8.2 mm
P302,wall,golden/native/P302_completed.xlsx,Release Form,F19,pass
P302,wall,golden/native/P302_completed.xlsx,Release Form,G19,PDF 22쪽 | 최소 측정값 8.2 mm를 사용
P302,weld,golden/native/P302_completed.xlsx,Release Form,E20,Acceptable
P302,weld,golden/native/P302_completed.xlsx,Release Form,F20,pass
P302,weld,golden/native/P302_completed.xlsx,Release Form,G20,PDF 57쪽 | 문구 기준과 일치
P302,leak,golden/native/P302_completed.xlsx,Release Form,E21,<0.000001 Pa m3/s
P302,leak,golden/native/P302_completed.xlsx,Release Form,F21,pass
P302,leak,golden/native/P302_completed.xlsx,Release Form,G21,PDF 92쪽 | 검출 상한이 허용 상한보다 작음
P302,coating,golden/native/P302_completed.xlsx,Release Form,E22,280 um
P302,coating,golden/native/P302_completed.xlsx,Release Form,F22,pass
P302,coating,golden/native/P302_completed.xlsx,Release Form,G22,PDF 92쪽 | 부록 개정값 250..350 적용; 본문 구기준 300..400 제외
P302,ferrite,golden/native/P302_completed.xlsx,Release Form,E23,6.2 %
P302,ferrite,golden/native/P302_completed.xlsx,Release Form,F23,review
P302,ferrite,golden/native/P302_completed.xlsx,Release Form,G23,PDF 57쪽 | 현행 기준서에 합격 한계가 제공되지 않음
N401,lead,golden/native/N401_completed.xlsx,분석 허용치,F19,<0.004 mg/L
N401,lead,golden/native/N401_completed.xlsx,분석 허용치,G19,pass
N401,lead,golden/native/N401_completed.xlsx,분석 허용치,H19,PDF 6쪽 | 검출상한 0.004가 한계 0.01보다 작음
N401,cadmium,golden/native/N401_completed.xlsx,분석 허용치,F20,ND
N401,cadmium,golden/native/N401_completed.xlsx,분석 허용치,G20,review
N401,cadmium,golden/native/N401_completed.xlsx,분석 허용치,H20,PDF 6쪽 | ND이나 LOD/LOQ 미기재
N401,cod,golden/native/N401_completed.xlsx,분석 허용치,F21,18 mg/L
N401,cod,golden/native/N401_completed.xlsx,분석 허용치,G21,pass
N401,cod,golden/native/N401_completed.xlsx,분석 허용치,H21,PDF 15쪽 | 지정 채수일과 OUTLET B의 결과
N401,ph,golden/native/N401_completed.xlsx,현장 측정,F12,9.1
N401,ph,golden/native/N401_completed.xlsx,현장 측정,G12,fail
N401,ph,golden/native/N401_completed.xlsx,현장 측정,H12,PDF 23쪽 | 허용 상한 8.5 초과
N402,power,golden/native/N402_completed.xlsx,완성 검토,C8,449 W
N402,power,golden/native/N402_completed.xlsx,완성 검토,C10,fail
N402,power,golden/native/N402_completed.xlsx,완성 검토,C12,PDF 4쪽 | STC 조건 결과가 최소 450 W 미달
N402,insulation,golden/native/N402_completed.xlsx,완성 검토,D8,240 MOhm
N402,insulation,golden/native/N402_completed.xlsx,완성 검토,D10,pass
N402,insulation,golden/native/N402_completed.xlsx,완성 검토,D12,PDF 28쪽 | kOhm을 MOhm으로 환산
N402,wetleak,golden/native/N402_completed.xlsx,완성 검토,E8,판독 불가
N402,wetleak,golden/native/N402_completed.xlsx,완성 검토,E10,review
N402,wetleak,golden/native/N402_completed.xlsx,완성 검토,E12,PDF 40쪽 | 결과 숫자 인쇄 손상으로 판독 불가
N402,model,golden/native/N402_completed.xlsx,완성 검토,F8,PVX-72
N402,model,golden/native/N402_completed.xlsx,완성 검토,F10,pass
N402,model,golden/native/N402_completed.xlsx,완성 검토,F12,PDF 4쪽 | 요청 모델과 일치
